rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF01164,Small nucleolar RNA SNORD107,Gene; snRNA; snoRNA; CD-box;,13,76,952,73.2,86,Rfam seed
RF01165,Small nucleolar RNA sn2317,Gene; snRNA; snoRNA; CD-box;,4,79,286,71.5,84,Rfam seed
RF01166,Small nucleolar RNA sn3071,Gene; snRNA; snoRNA; CD-box;,2,77,153,76.5,95,Rfam seed
RF01167,Small nucleolar RNA sn2429,Gene; snRNA; snoRNA; CD-box;,4,78,307,76.8,90,Rfam seed
RF01168,Small nucleolar RNA SNORD126,Gene; snRNA; snoRNA; CD-box;,6,77,462,77.0,85,Rfam seed
RF01169,Small nucleolar RNA SNORD112,Gene; snRNA; snoRNA; CD-box;,13,81,1002,77.1,81,Rfam seed
RF01170,Small nucleolar RNA U61,Gene; snRNA; snoRNA; CD-box;,8,103,676,84.5,72,Rfam seed
RF01171,Small nucleolar RNA snoR4,Gene; snRNA; snoRNA; CD-box;,2,80,158,79.0,62,Rfam seed
RF01172,Small nucleolar RNA sn2343,Gene; snRNA; snoRNA; CD-box;,3,81,237,79.0,88,Rfam seed
RF01173,Small nucleolar RNA U105B,Gene; snRNA; snoRNA; CD-box;,13,80,1027,79.0,78,Rfam seed
RF01174,Small nucleolar RNA U43,Gene; snRNA; snoRNA; CD-box;,11,90,873,79.4,75,Rfam seed
RF01175,Small nucleolar RNA U83,Gene; snRNA; snoRNA; CD-box;,8,88,638,79.8,84,Rfam seed
RF01176,Small nucleolar RNA snR78,Gene; snRNA; snoRNA; CD-box;,8,98,658,82.2,71,Rfam seed
RF01177,Small nucleolar RNA snR67,Gene; snRNA; snoRNA; CD-box;,16,132,1444,90.2,70,Rfam seed
RF01178,Small nucleolar RNA snoR77Y,Gene; snRNA; snoRNA; CD-box;,21,103,1776,84.6,69,Rfam seed
RF01179,Small nucleolar RNA U83,Gene; snRNA; snoRNA; CD-box;,7,92,587,83.9,64,Rfam seed
RF01180,Small nucleolar RNA snoR110,Gene; snRNA; snoRNA; HACA-box;,2,89,172,86.0,92,Rfam seed
RF01181,Small nucleolar RNA snR77,Gene; snRNA; snoRNA; CD-box;,15,91,1254,83.6,82,Rfam seed
RF01182,Small nucleolar RNA SNORD11,Gene; snRNA; snoRNA; CD-box;,19,96,1597,84.1,85,Rfam seed
RF01183,Small nucleolar RNA SNORD19B,Gene; snRNA; snoRNA; CD-box;,17,86,1399,82.3,77,Rfam seed
RF01184,Small nucleolar RNA snR79,Gene; snRNA; snoRNA; CD-box;,18,103,1536,85.3,75,Rfam seed
RF01185,Small nucleolar RNA snR75,Gene; snRNA; snoRNA; CD-box;,61,135,5356,87.8,67,Rfam seed
RF01186,Small nucleolar RNA SNORD127,Gene; snRNA; snoRNA; CD-box;,13,88,1095,84.2,87,Rfam seed
RF01188,Small nucleolar RNA snR56,Gene; snRNA; snoRNA; CD-box;,16,100,1344,84.0,69,Rfam seed
RF01189,Small nucleolar RNA sn1502,Gene; snRNA; snoRNA; CD-box;,4,89,349,87.2,94,Rfam seed
RF01190,Small nucleolar RNA snR50,Gene; snRNA; snoRNA; CD-box;,3,89,265,88.3,91,Rfam seed
RF01191,Small nucleolar RNA SNORD121A,Gene; snRNA; snoRNA; CD-box;,26,92,2137,82.2,81,Rfam seed
RF01192,Small nucleolar RNA SNORD11B,Gene; snRNA; snoRNA; CD-box;,37,95,3124,84.4,76,Rfam seed
RF01193,Small nucleolar RNA snoR20a,Gene; snRNA; snoRNA; CD-box;,5,94,428,85.6,69,Rfam seed
RF01194,Small nucleolar RNA sn2903,Gene; snRNA; snoRNA; CD-box;,4,91,364,91.0,99,Rfam seed
RF01195,Small nucleolar RNA snR52,Gene; snRNA; snoRNA; CD-box;,5,92,459,91.8,97,Rfam seed
RF01196,Small nucleolar RNA Z30a,Gene; snRNA; snoRNA; CD-box;,10,97,919,91.9,78,Rfam seed
RF01197,Small nucleolar RNA snR39,Gene; snRNA; snoRNA; CD-box;,4,106,391,97.8,85,Rfam seed
RF01198,Small nucleolar RNA snoR69Y,Gene; snRNA; snoRNA; CD-box;,7,116,691,98.7,65,Rfam seed
RF01199,Small nucleolar RNA snR58,Gene; snRNA; snoRNA; CD-box;,3,98,291,97.0,81,Rfam seed
RF01200,Small nucleolar RNA SNORD125,Gene; snRNA; snoRNA; CD-box;,16,113,1563,97.7,81,Rfam seed
RF01201,Small nucleolar RNA snR40,Gene; snRNA; snoRNA; CD-box;,18,105,1604,89.1,76,Rfam seed
RF01202,Small nucleolar RNA sn2991,Gene; snRNA; snoRNA; CD-box;,4,98,392,98.0,87,Rfam seed
RF01203,Small nucleolar RNA snR47,Gene; snRNA; snoRNA; CD-box;,17,106,1595,93.8,73,Rfam seed
RF01204,Small nucleolar RNA snR65,Gene; snRNA; snoRNA; HACA-box;,5,102,498,99.6,93,Rfam seed
RF01205,Small nucleolar RNA snR62,Gene; snRNA; snoRNA; CD-box;,2,100,200,100.0,95,Rfam seed
RF01206,Small nucleolar RNA snoR109,Gene; snRNA; snoRNA; HACA-box;,6,112,568,94.7,76,Rfam seed
RF01207,Small nucleolar RNA snR73,Gene; snRNA; snoRNA; CD-box;,5,110,521,104.2,80,Rfam seed
RF01208,Small nucleolar RNA snoR99,Gene; snRNA; snoRNA; HACA-box;,9,114,930,103.3,69,Rfam seed
RF01209,Small nucleolar RNA snR76,Gene; snRNA; snoRNA; CD-box;,15,121,1497,99.8,73,Rfam seed
RF01210,Small nucleolar RNA U13,Gene; snRNA; snoRNA; CD-box;,34,114,3485,102.5,78,Rfam seed
RF01211,Small nucleolar RNA SNORD124,Gene; snRNA; snoRNA; CD-box;,18,111,1868,103.8,81,Rfam seed
RF01212,Small nucleolar RNA sn2524,Gene; snRNA; snoRNA; CD-box;,2,109,215,107.5,71,Rfam seed
RF01213,Small nucleolar RNA snoR103,Gene; snRNA; snoRNA; HACA-box;,11,114,1168,106.2,67,Rfam seed
RF01214,Small nucleolar RNA snR51,Gene; snRNA; snoRNA; CD-box;,17,109,1645,96.8,76,Rfam seed
RF01215,Small nucleolar RNA snoR97,Gene; snRNA; snoRNA; HACA-box;,7,116,750,107.1,71,Rfam seed
RF01216,Small nucleolar RNA snR87,Gene; snRNA; snoRNA; CD-box;,4,109,436,109.0,90,Rfam seed
RF01218,Small nucleolar RNA snR41,Gene; snRNA; snoRNA; CD-box;,18,121,1865,103.6,77,Rfam seed
RF01219,Small nucleolar RNA snoR100,Gene; snRNA; snoRNA; HACA-box;,9,122,1032,114.7,71,Rfam seed
RF01220,Small nucleolar RNA snoR104,Gene; snRNA; snoRNA; HACA-box;,8,123,936,117.0,66,Rfam seed
RF01221,Small nucleolar RNA U6-47,Gene; snRNA; snoRNA; CD-box;,5,152,648,129.6,62,Rfam seed
RF01222,Small nucleolar RNA sn2417,Gene; snRNA; snoRNA; CD-box;,3,123,367,122.3,92,Rfam seed
RF01223,Small nucleolar RNA snR13,Gene; snRNA; snoRNA; CD-box;,2,124,247,123.5,95,Rfam seed
RF01224,Small nucleolar RNA snoR80,Gene; snRNA; snoRNA; HACA-box;,9,143,1152,128.0,70,Rfam seed
RF01225,Small nucleolar RNA ACA64,Gene; snRNA; snoRNA; HACA-box;,30,142,3829,127.6,72,Rfam seed
RF01226,Small nucleolar RNA Z5,Gene; snRNA; snoRNA; CD-box;,8,132,931,116.4,83,Rfam seed
RF01227,Small nucleolar RNA snoR83,Gene; snRNA; snoRNA; HACA-box;,7,155,904,129.1,72,Rfam seed
RF01228,Small nucleolar RNA snoR111,Gene; snRNA; snoRNA; HACA-box;,6,136,759,126.5,66,Rfam seed
RF01229,Small nucleolar RNA SNORA84,Gene; snRNA; snoRNA; HACA-box;,28,152,3743,133.7,75,Rfam seed
RF01230,Small nucleolar RNA snoR77,Gene; snRNA; snoRNA; HACA-box;,5,143,649,129.8,73,Rfam seed
RF01231,Small nucleolar RNA snoR74,Gene; snRNA; snoRNA; HACA-box;,9,145,1192,132.4,67,Rfam seed
RF01232,Small nucleolar RNA R442,Gene; snRNA; snoRNA; CD-box;,10,47,463,46.3,88,Rfam seed
RF01233,Small nucleolar RNA U109,Gene; snRNA; snoRNA; HACA-box;,26,155,3536,136.0,83,Rfam seed
RF01234,Small nucleolar RNA SNORA47,Gene; snRNA; snoRNA; HACA-box;,20,147,2735,136.8,76,Rfam seed
RF01235,Small nucleolar RNA snR68,Gene; snRNA; snoRNA; CD-box;,5,139,684,136.8,95,Rfam seed
RF01236,Small nucleolar RNA U19,Gene; snRNA; snoRNA; HACA-box;,3,148,428,142.7,68,Rfam seed
RF01237,Small nucleolar RNA snR161,Gene; snRNA; snoRNA; HACA-box;,10,184,1627,162.7,64,Rfam seed
RF01238,Small nucleolar RNA snR70,Gene; snRNA; snoRNA; CD-box;,9,171,1475,163.9,82,Rfam seed
RF01239,Small nucleolar RNA snR49,Gene; snRNA; snoRNA; HACA-box;,6,189,1031,171.8,75,Rfam seed
RF01240,Small nucleolar RNA snR85,Gene; snRNA; snoRNA; HACA-box;,5,187,897,179.4,80,Rfam seed
RF01241,Small nucleolar RNA SNORA81,Gene; snRNA; snoRNA; HACA-box;,28,195,4858,173.5,83,Rfam seed
RF01242,Small nucleolar RNA snR36,Gene; snRNA; snoRNA; HACA-box;,10,221,1842,184.2,69,Rfam seed
RF01243,Small nucleolar RNA snR33,Gene; snRNA; snoRNA; HACA-box;,5,188,919,183.8,90,Rfam seed
RF01244,Small nucleolar RNA snR4,Gene; snRNA; snoRNA; CD-box;,5,193,928,185.6,81,Rfam seed
RF01245,Small nucleolar RNA snR9,Gene; snRNA; snoRNA; HACA-box;,5,188,933,186.6,90,Rfam seed
RF01246,Small nucleolar RNA snR81,Gene; snRNA; snoRNA; HACA-box;,3,188,564,188.0,88,Rfam seed
RF01247,Small nucleolar RNA snR32,Gene; snRNA; snoRNA; HACA-box;,11,246,2135,194.1,65,Rfam seed
RF01248,Small nucleolar RNA snR8,Gene; snRNA; snoRNA; HACA-box;,11,230,1992,181.1,69,Rfam seed
RF01249,Small nucleolar RNA snR190,Gene; snRNA; snoRNA; CD-box;,10,210,1933,193.3,80,Rfam seed
RF01250,Small nucleolar RNA snR189,Gene; snRNA; snoRNA; HACA-box;,4,197,770,192.5,89,Rfam seed
RF01251,Small nucleolar RNA snR3,Gene; snRNA; snoRNA; HACA-box;,4,198,765,191.2,86,Rfam seed
RF01252,Small nucleolar RNA snR5,Gene; snRNA; snoRNA; HACA-box;,11,204,2111,191.9,76,Rfam seed
RF01253,Small nucleolar RNA snR46,Gene; snRNA; snoRNA; HACA-box;,6,223,1198,199.7,79,Rfam seed
RF01254,Small nucleolar RNA snR34,Gene; snRNA; snoRNA; HACA-box;,4,219,821,205.2,88,Rfam seed
RF01255,Small nucleolar RNA snR35,Gene; snRNA; snoRNA; HACA-box;,11,231,2190,199.1,76,Rfam seed
RF01256,Small nucleolar RNA snR43,Gene; snRNA; snoRNA; HACA-box;,20,239,4129,206.4,64,Rfam seed
RF01257,Small nucleolar RNA snR31,Gene; snRNA; snoRNA; HACA-box;,8,243,1772,221.5,74,Rfam seed
RF01258,Small nucleolar RNA snR10,Gene; snRNA; snoRNA; HACA-box;,15,309,3706,247.1,73,Rfam seed
RF01259,Small nucleolar RNA snR63,Gene; snRNA; snoRNA; CD-box;,6,260,1532,255.3,93,Rfam seed
RF01260,Small nucleolar RNA snR11,Gene; snRNA; snoRNA; HACA-box;,6,290,1531,255.2,75,Rfam seed
RF01261,Small nucleolar RNA snR82,Gene; snRNA; snoRNA; HACA-box;,5,294,1366,273.2,78,Rfam seed
RF01262,Small nucleolar RNA snR44,Gene; snRNA; snoRNA; HACA-box;,7,214,1443,206.1,86,Rfam seed
RF01263,Small nucleolar RNA snR191,Gene; snRNA; snoRNA; HACA-box;,11,306,2979,270.8,68,Rfam seed
RF01264,Small nucleolar RNA snR83,Gene; snRNA; snoRNA; HACA-box;,5,324,1535,307.0,87,Rfam seed
RF01265,Small nucleolar RNA snR42,Gene; snRNA; snoRNA; HACA-box;,5,358,1741,348.2,84,Rfam seed
RF01266,Small nucleolar RNA snR45,Gene; snRNA; snoRNA; CD-box;,8,225,1465,183.1,77,Rfam seed
RF01267,Small nucleolar RNA snR37,Gene; snRNA; snoRNA; HACA-box;,9,439,3429,381.0,71,Rfam seed
RF01268,Small Cajal body-specific RNA 2,Gene; snRNA; snoRNA; scaRNA;,20,531,7960,398.0,77,Rfam seed
RF01269,Small nucleolar RNA snR80,Gene; snRNA; snoRNA; HACA-box;,6,183,1050,175.0,87,Rfam seed
RF01270,Small nucleolar RNA snR84,Gene; snRNA; snoRNA; HACA-box;,6,609,3347,557.8,79,Rfam seed
RF01271,Small nucleolar RNA snR30,Gene; snRNA; snoRNA; HACA-box;,5,616,3056,611.2,91,Rfam seed
RF01272,Small nucleolar RNA snR86,Gene; snRNA; snoRNA; HACA-box;,5,1037,4992,998.4,74,Rfam seed
RF01273,Small nucleolar RNA sR34,Gene; snRNA; snoRNA; CD-box;,4,55,217,54.2,93,Rfam seed
RF01274,Small nucleolar RNA sR45,Gene; snRNA; snoRNA; CD-box;,7,65,401,57.3,82,Rfam seed
RF01275,Small nucleolar RNA sR22,Gene; snRNA; snoRNA; CD-box;,6,59,347,57.8,92,Rfam seed
RF01276,Small nucleolar RNA sR53,Gene; snRNA; snoRNA; CD-box;,3,60,178,59.3,90,Rfam seed
RF01277,Small nucleolar RNA U54,Gene; snRNA; snoRNA; CD-box;,28,77,1873,66.9,77,Rfam seed
RF01278,Small nucleolar RNA SNORD109A,Gene; snRNA; snoRNA; CD-box;,7,74,475,67.9,87,Rfam seed
RF01279,Small nucleolar RNA snoR53Y,Gene; snRNA; snoRNA; CD-box;,7,105,575,82.1,70,Rfam seed
RF01280,Small nucleolar RNA snoR14,Gene; snRNA; snoRNA; CD-box;,7,106,609,87.0,77,Rfam seed
RF01281,Small nucleolar RNA snoR35,Gene; snRNA; snoRNA; CD-box;,12,81,963,80.2,70,Rfam seed
RF01283,Small nucleolar RNA U30,Gene; snRNA; snoRNA; CD-box;,5,93,428,85.6,74,Rfam seed
RF01284,Small nucleolar RNA snoR8a,Gene; snRNA; snoRNA; CD-box;,7,96,616,88.0,73,Rfam seed
RF01285,Small nucleolar RNA U31b,Gene; snRNA; snoRNA; CD-box;,7,94,590,84.3,70,Rfam seed
RF01286,Small nucleolar RNA snoR26,Gene; snRNA; snoRNA; CD-box;,8,102,749,93.6,74,Rfam seed
RF01287,Small nucleolar RNA snoR27,Gene; snRNA; snoRNA; CD-box;,6,102,562,93.7,68,Rfam seed
RF01288,Small nucleolar RNA snoR31,Gene; snRNA; snoRNA; CD-box;,6,100,565,94.2,71,Rfam seed
RF01289,Small nucleolar RNA snoR17,Gene; snRNA; snoRNA; CD-box;,2,110,208,104.0,70,Rfam seed
RF01290,Small nucleolar RNA SNORD10,Gene; snRNA; snoRNA; CD-box;,22,176,3098,140.8,63,Rfam seed
RF01291,Small nucleolar RNA SNORD97,Gene; snRNA; snoRNA; CD-box;,20,253,2963,148.2,84,Rfam seed
RF01292,Small nucleolar RNA snoR2/U65,Gene; snRNA; snoRNA; HACA-box;,11,179,1653,150.3,73,Rfam seed
RF01293,Small nucleolar RNA ACA59,Gene; snRNA; snoRNA; HACA-box;,3,167,463,154.3,75,Rfam seed
RF01294,Small nucleolar RNA U89,Gene; snRNA; snoRNA; HACA-box;,16,311,4209,263.1,75,Rfam seed
RF01295,Small Cajal body-specific RNA 7,Gene; snRNA; snoRNA; scaRNA;,18,439,5931,329.5,80,Rfam seed
RF01296,Small nucleolar RNA U85,Gene; snRNA; snoRNA; HACA-box;,21,378,6787,323.2,62,Rfam seed
RF01297,Small nucleolar RNA sR40,Gene; snRNA; snoRNA; CD-box;,2,61,122,61.0,98,Rfam seed
RF01298,Small nucleolar RNA U25,Gene; snRNA; snoRNA; CD-box;,3,69,207,69.0,98,Rfam seed
RF01299,Small nucleolar RNA SNORD2,Gene; snRNA; snoRNA; CD-box;,17,92,1204,70.8,76,Rfam seed
RF01300,Small nucleolar RNA U49,Gene; snRNA; snoRNA; CD-box;,5,74,325,65.0,80,Rfam seed
RF01301,Small nucleolar RNA snoR4a,Gene; snRNA; snoRNA; CD-box;,2,77,154,77.0,97,Rfam seed
RF01302,SnoRNA U36a,Gene; snRNA; snoRNA; CD-box;,15,99,1326,88.4,76,Rfam seed
RF01303,Small nucleolar RNA sR49,Gene; snRNA; snoRNA; CD-box;,3,57,169,56.3,88,Rfam seed
RF01304,Small nucleolar RNA sR5,Gene; snRNA; snoRNA; CD-box;,11,61,588,53.5,62,Rfam seed
RF01305,Small nucleolar RNA sR51,Gene; snRNA; snoRNA; CD-box;,4,56,219,54.8,80,Rfam seed
RF01306,Small nucleolar RNA sR52,Gene; snRNA; snoRNA; CD-box;,2,60,117,58.5,86,Rfam seed
RF01307,Small nucleolar RNA sR55,Gene; snRNA; snoRNA; CD-box;,4,66,252,63.0,87,Rfam seed
RF01308,Small nucleolar RNA sR58,Gene; snRNA; snoRNA; CD-box;,5,56,276,55.2,87,Rfam seed
RF01309,Small nucleolar RNA sR60,Gene; snRNA; snoRNA; CD-box;,4,55,220,55.0,88,Rfam seed
RF01310,Small nucleolar RNA sR7,Gene; snRNA; snoRNA; CD-box;,5,60,288,57.6,71,Rfam seed
RF01312,Small nucleolar RNA sR9,Gene; snRNA; snoRNA; CD-box;,3,71,177,59.0,42,Rfam seed
RF01313,Avian HBV RNA encapsidation signal epsilon,Cis-reg;,10,57,570,57.0,93,Rfam seed
RF01314,microRNA mir-1227,Gene; miRNA;,4,88,351,87.8,95,Rfam seed
RF01315,CRISPR RNA direct repeat element,Gene; CRISPR;,19,30,570,30.0,78,Rfam seed
RF01316,CRISPR RNA direct repeat element,Gene; CRISPR;,20,30,600,30.0,84,Rfam seed
RF01317,CRISPR RNA direct repeat element,Gene; CRISPR;,33,28,924,28.0,84,Rfam seed
RF01318,CRISPR RNA direct repeat element,Gene; CRISPR;,12,37,444,37.0,78,Rfam seed
RF01319,CRISPR RNA direct repeat element,Gene; CRISPR;,7,30,210,30.0,92,Rfam seed
RF01320,CRISPR RNA direct repeat element,Gene; CRISPR;,10,37,370,37.0,77,Rfam seed
RF01321,CRISPR RNA direct repeat element,Gene; CRISPR;,5,37,183,36.6,70,Rfam seed
RF01322,CRISPR RNA direct repeat element,Gene; CRISPR;,7,37,259,37.0,78,Rfam seed
RF01323,CRISPR RNA direct repeat element,Gene; CRISPR;,5,37,185,37.0,71,Rfam seed
RF01324,CRISPR RNA direct repeat element,Gene; CRISPR;,5,36,180,36.0,91,Rfam seed
RF01325,CRISPR RNA direct repeat element,Gene; CRISPR;,5,30,150,30.0,89,Rfam seed
RF01326,CRISPR RNA direct repeat element,Gene; CRISPR;,4,30,120,30.0,93,Rfam seed
RF01327,CRISPR RNA direct repeat element,Gene; CRISPR;,5,29,145,29.0,89,Rfam seed
RF01328,CRISPR RNA direct repeat element,Gene; CRISPR;,3,25,75,25.0,95,Rfam seed
RF01329,CRISPR RNA direct repeat element,Gene; CRISPR;,3,37,111,37.0,80,Rfam seed
RF01330,CRISPR RNA direct repeat element,Gene; CRISPR;,6,37,222,37.0,87,Rfam seed
RF01331,CRISPR RNA direct repeat element,Gene; CRISPR;,6,37,222,37.0,81,Rfam seed
RF01332,CRISPR RNA direct repeat element,Gene; CRISPR;,4,37,147,36.8,78,Rfam seed
RF01333,CRISPR RNA direct repeat element,Gene; CRISPR;,3,37,109,36.3,79,Rfam seed
RF01334,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01335,CRISPR RNA direct repeat element,Gene; CRISPR;,9,36,324,36.0,80,Rfam seed
RF01336,CRISPR RNA direct repeat element,Gene; CRISPR;,3,36,108,36.0,93,Rfam seed
RF01337,CRISPR RNA direct repeat element,Gene; CRISPR;,4,30,120,30.0,86,Rfam seed
RF01338,CRISPR RNA direct repeat element,Gene; CRISPR;,5,25,125,25.0,93,Rfam seed
RF01339,CRISPR RNA direct repeat element,Gene; CRISPR;,3,25,75,25.0,95,Rfam seed
RF01340,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,100,Rfam seed
RF01341,CRISPR RNA direct repeat element,Gene; CRISPR;,3,38,114,38.0,81,Rfam seed
RF01342,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,81,Rfam seed
RF01343,CRISPR RNA direct repeat element,Gene; CRISPR;,3,37,111,37.0,67,Rfam seed
RF01344,CRISPR RNA direct repeat element,Gene; CRISPR;,5,36,180,36.0,89,Rfam seed
RF01345,CRISPR RNA direct repeat element,Gene; CRISPR;,2,36,72,36.0,97,Rfam seed
RF01346,CRISPR RNA direct repeat element,Gene; CRISPR;,3,36,108,36.0,94,Rfam seed
RF01347,CRISPR RNA direct repeat element,Gene; CRISPR;,3,35,105,35.0,78,Rfam seed
RF01348,CRISPR RNA direct repeat element,Gene; CRISPR;,5,35,175,35.0,82,Rfam seed
RF01349,CRISPR RNA direct repeat element,Gene; CRISPR;,3,30,90,30.0,91,Rfam seed
RF01350,CRISPR RNA direct repeat element,Gene; CRISPR;,2,29,58,29.0,93,Rfam seed
RF01351,CRISPR RNA direct repeat element,Gene; CRISPR;,3,29,87,29.0,92,Rfam seed
RF01352,CRISPR RNA direct repeat element,Gene; CRISPR;,3,29,87,29.0,86,Rfam seed
RF01353,CRISPR RNA direct repeat element,Gene; CRISPR;,3,28,84,28.0,83,Rfam seed
RF01354,CRISPR RNA direct repeat element,Gene; CRISPR;,3,24,72,24.0,94,Rfam seed
RF01355,CRISPR RNA direct repeat element,Gene; CRISPR;,4,25,100,25.0,93,Rfam seed
RF01356,CRISPR RNA direct repeat element,Gene; CRISPR;,3,24,72,24.0,92,Rfam seed
RF01357,CRISPR RNA direct repeat element,Gene; CRISPR;,3,37,111,37.0,91,Rfam seed
RF01358,CRISPR RNA direct repeat element,Gene; CRISPR;,3,31,93,31.0,82,Rfam seed
RF01359,CRISPR RNA direct repeat element,Gene; CRISPR;,2,38,76,38.0,84,Rfam seed
RF01360,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01361,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01362,CRISPR RNA direct repeat element,Gene; CRISPR;,3,47,141,47.0,90,Rfam seed
RF01363,CRISPR RNA direct repeat element,Gene; CRISPR;,2,46,92,46.0,83,Rfam seed
RF01364,CRISPR RNA direct repeat element,Gene; CRISPR;,2,38,75,37.5,78,Rfam seed
RF01365,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,100,Rfam seed
RF01366,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01367,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01368,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,86,Rfam seed
RF01369,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,95,Rfam seed
RF01370,CRISPR RNA direct repeat element,Gene; CRISPR;,3,37,111,37.0,80,Rfam seed
RF01371,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,95,Rfam seed
RF01373,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,84,Rfam seed
RF01374,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,95,Rfam seed
RF01375,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,92,Rfam seed
RF01376,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01377,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,97,Rfam seed
RF01378,CRISPR RNA direct repeat element,Gene; CRISPR;,2,37,74,37.0,86,Rfam seed
RF01379,CRISPR RNA direct repeat element,Gene; CRISPR;,4,37,147,36.8,94,Rfam seed
RF01380,Human immunodeficiency virus type 1 major splice donor,Cis-reg;,22,19,418,19.0,94,Rfam seed
RF01381,HIV-1 stem-loop 3 Psi packaging signal,Cis-reg;,19,24,438,23.1,90,Rfam seed
RF01382,HIV-1 stem-loop 4 packaging signal,Cis-reg;,16,20,320,20.0,92,Rfam seed
RF01383,GRIK4 3 prime UTR element,Gene;,8,102,728,91.0,92,Rfam seed
RF01384,Invasion gene-associated RNA,Gene;,4,91,364,91.0,96,Rfam seed
RF01385,isrA Hfq binding RNA,Gene; sRNA;,10,130,1266,126.6,87,Rfam seed
RF01386,isrB Hfq binding RNA,Gene; sRNA;,3,92,262,87.3,84,Rfam seed
RF01387,isrC Hfq binding RNA,Gene; sRNA;,16,123,1952,122.0,91,Rfam seed
RF01388,isrD Hfq binding RNA,Gene; sRNA;,2,51,102,51.0,98,Rfam seed
RF01389,isrF Hfq binding RNA,Gene; sRNA;,3,294,853,284.3,85,Rfam seed
RF01390,isrG Hfq binding RNA,Gene; sRNA;,5,285,1398,279.6,85,Rfam seed
RF01391,isrH Hfq binding RNA,Gene; sRNA;,6,281,1681,280.2,97,Rfam seed
RF01392,isrI Hfq binding RNA,Gene; sRNA;,30,101,2956,98.5,82,Rfam seed
RF01393,isrJ Hfq binding RNA,Gene; sRNA;,5,79,375,75.0,76,Rfam seed
RF01394,isrK Hfq binding RNA,Gene; sRNA;,52,92,4030,77.5,60,Rfam seed
RF01395,isrL Hfq binding RNA,Gene; sRNA;,4,354,1389,347.2,85,Rfam seed
RF01396,isrN Hfq binding RNA,Gene; sRNA;,17,149,2397,141.0,61,Rfam seed
RF01397,isrO Hfq binding RNA,Gene; sRNA;,6,204,1191,198.5,84,Rfam seed
RF01398,isrP Hfq binding RNA,Gene; sRNA;,7,148,1036,148.0,97,Rfam seed
RF01399,isrQ Hfq binding RNA,Gene; sRNA;,6,162,971,161.8,97,Rfam seed
RF01400,istR Hfq binding RNA,Gene; antitoxin;,7,133,912,130.3,84,Rfam seed
RF01401,rseX Hfq binding RNA,Gene; sRNA;,12,103,1106,92.2,76,Rfam seed
RF01402,STnc150 Hfq binding RNA,Gene; sRNA;,9,280,2436,270.7,91,Rfam seed
RF01403,STnc290 Hfq binding RNA,Gene; sRNA;,6,65,390,65.0,99,Rfam seed
RF01404,PinT (STnc440) Hfq binding RNA,Gene; sRNA;,4,76,304,76.0,99,Rfam seed
RF01405,STnc490 Hfq binding RNA,Gene; sRNA;,76,127,9401,123.7,94,Rfam seed
RF01406,STnc500 Hfq binding RNA,Gene; sRNA;,8,285,2277,284.6,99,Rfam seed
RF01407,STnc560 Hfq binding RNA,Gene; sRNA;,12,220,2572,214.3,95,Rfam seed
RF01408,sraL Hfq binding RNA,Gene; sRNA;,6,160,848,141.3,80,Rfam seed
RF01409,STnc250 Hfq binding RNA,Gene; sRNA;,3,94,282,94.0,98,Rfam seed
RF01410,BsrC,Gene; sRNA;,29,97,2488,85.8,76,Rfam seed
RF01411,BsrF,Gene; sRNA;,11,126,1210,110.0,73,Rfam seed
RF01412,BsrG,Gene; sRNA;,6,312,1546,257.7,52,Rfam seed
RF01413,miR-430 microRNA precursor family,Gene; miRNA;,32,73,2183,68.2,66,Rfam seed
RF01414,Class I RNA from Dictyostelium,Gene;,112,161,6830,61.0,54,Rfam seed
RF01415,Flavivirus 3'UTR stem loop IV,Cis-reg;,20,77,1460,73.0,80,Rfam seed
RF01416,NrrF RNA,Gene; antisense;,3,160,476,158.7,96,Rfam seed
RF01417,Retroviral 3'UTR stability element,Cis-reg;,8,293,2315,289.4,88,Rfam seed
RF01418,HIV pol-1 stem loop,Cis-reg;,29,113,3277,113.0,82,Rfam seed
RF01419,Antisense RNA which regulates isiA expression,Gene; antisense;,308,271,57045,185.2,66,Rfam seed
